#Types Before Cut: 11091
#Types After Cut: 9681
#Search Hits: 0
350	9	23.735	двести
351	9	23.735	женщина
352	9	23.735	кошки
353	9	23.735	папа
354	9	23.735	переехали
355	9	23.735	подожди
356	9	23.735	смесь
357	9	23.735	танцами
358	9	23.735	твой
359	9	23.735	учителя
360	9	23.735	чай
361	9	23.735	эмм
362	27	23.085	каждый
363	14	22.945	вещи
364	14	22.945	мои
365	14	22.945	хотелось
366	11	22.748	квартире
367	36	22.669	одна
368	21	22.622	долго
369	20	22.424	места
370	16	22.256	девять
371	28	22.250	совсем
372	18	22.181	русский
373	18	22.181	тему
374	17	22.166	кем
375	30	21.962	чего
376	27	21.841	слова
377	29	21.525	сама
378	12	21.409	нравятся
379	8	21.098	acc
380	8	21.098	komm
381	8	21.098	nom
382	8	21.098	ааa
383	8	21.098	английский
384	8	21.098	брови
385	8	21.098	вертолет
386	8	21.098	говорящийа
387	8	21.098	говорящийб
388	8	21.098	грустно
389	8	21.098	делаешь
390	8	21.098	егэ
391	8	21.098	замечательно
392	8	21.098	звук
393	8	21.098	иду
394	8	21.098	интересного
395	8	21.098	колесико
396	8	21.098	любишь
397	8	21.098	лёва
398	8	21.098	мамой
399	8	21.098	мемы
400	8	21.098	моих
401	8	21.098	надя
402	8	21.098	неудобно
403	8	21.098	никит
404	8	21.098	одиннадцать
405	8	21.098	поехал
406	8	21.098	прихожу
407	8	21.098	смотрел
408	8	21.098	смотрела
409	8	21.098	типо
410	8	21.098	умер
411	8	21.098	учился
412	8	21.098	учится
413	8	21.098	хе
414	8	21.098	эт
415	13	20.709	бывает
416	13	20.709	говорила
417	13	20.709	специально
418	14	20.342	d
419	14	20.342	надеюсь
420	10	20.293	интересные
421	10	20.293	рассказывала
422	40	20.266	говорить
423	11	19.092	будто
424	11	19.092	знаете
425	11	19.092	отец
426	11	19.092	пошел
427	19	18.970	павел
428	19	18.970	хотел
429	12	18.502	делали
430	12	18.502	семье
431	27	18.489	ей
432	7	18.461	бабушкой
433	7	18.461	боже
434	7	18.461	буквы
435	7	18.461	двери
436	7	18.461	детство
437	7	18.461	детьми
438	7	18.461	друзьями
439	7	18.461	ездить
440	7	18.461	ехали
441	7	18.461	живёт
442	7	18.461	забыла
443	7	18.461	задание
444	7	18.461	карл
445	7	18.461	квартиры
446	7	18.461	красивый
447	7	18.461	ненавижу
448	7	18.461	нету
449	7	18.461	ноль
450	7	18.461	одни
451	7	18.461	парень
452	7	18.461	понравилась
453	7	18.461	пошёл
454	7	18.461	пытаюсь
455	7	18.461	ребят
456	7	18.461	секунд
457	7	18.461	скажи
458	7	18.461	сорок
459	7	18.461	супер
460	7	18.461	троих
461	7	18.461	троллейбус
462	7	18.461	человечек
463	7	18.461	читаю
464	7	18.461	чё
465	16	18.287	реально
466	16	18.287	уж
467	13	18.224	другую
468	13	18.224	улице
469	9	17.856	брали
470	9	17.856	друзей
471	9	17.856	едем
472	9	17.856	жил
473	9	17.856	институте
474	9	17.856	историю
475	9	17.856	маленькая
476	9	17.856	мое
477	9	17.856	нечего
478	9	17.856	смеется
479	9	17.856	твоя
480	153	17.709	еще
481	17	16.894	разные
482	10	16.804	мной
483	10	16.804	написано
484	23	16.692	равно
485	29	16.585	соответственно
486	11	16.329	скажем
487	11	16.329	считаю
488	19	16.198	говоря
489	64	16.194	тогда
490	12	16.142	друзья
491	12	16.142	купить
492	13	16.127	языка
493	6	15.823	distinct
494	6	15.823	onion
495	6	15.823	part
496	6	15.823	автобус
497	6	15.823	автобусе
498	6	15.823	ам
499	6	15.823	антифриз
500	6	15.823	бабуля
501	6	15.823	бабушки
502	6	15.823	бешбармак
503	6	15.823	бутово
504	6	15.823	вау
505	6	15.823	верно
506	6	15.823	волосы
507	6	15.823	восемнадцать
508	6	15.823	выпускной
509	6	15.823	вышла
510	6	15.823	гончар
511	6	15.823	готовился
512	6	15.823	жигули
513	6	15.823	загрузили
514	6	15.823	запомнила
515	6	15.823	играли
516	6	15.823	идёт
517	6	15.823	книги
518	6	15.823	колесо
519	6	15.823	коллектив
520	6	15.823	кормила
521	6	15.823	красиво
522	6	15.823	культура
523	6	15.823	лагере
524	6	15.823	лингвистике
525	6	15.823	литературу
526	6	15.823	лук
527	6	15.823	любил
528	6	15.823	любимый
529	6	15.823	математике
530	6	15.823	мгм
531	6	15.823	мем
532	6	15.823	молодец
533	6	15.823	мужик
534	6	15.823	немец
535	6	15.823	ногой
536	6	15.823	обед
537	6	15.823	орешки
538	6	15.823	погрей
539	6	15.823	подумала
540	6	15.823	покупайте
541	6	15.823	полу
542	6	15.823	польский
543	6	15.823	понравился
544	6	15.823	поступил
545	6	15.823	преподаватели
546	6	15.823	причём
547	6	15.823	пятёрка
548	6	15.823	саш
549	6	15.823	семьдесят
550	6	15.823	слышно
551	6	15.823	снимали
552	6	15.823	снимать
553	6	15.823	спал
554	6	15.823	спрашивают
555	6	15.823	спросить
556	6	15.823	студенты
557	6	15.823	сынок
558	6	15.823	убирай
559	6	15.823	учителей
560	6	15.823	учителем
561	6	15.823	худи
562	6	15.823	чувак
563	6	15.823	шёл
564	6	15.823	щас
565	6	15.823	этаж
566	6	15.823	эх
567	21	15.819	виктор
568	78	15.678	больше
569	17	15.465	заниматься
570	8	15.441	дверь
571	8	15.441	интересный
572	8	15.441	паре
573	8	15.441	работала
574	8	15.441	родителей
575	8	15.441	студентов
576	355	15.378	но
577	16	15.128	естественно
578	24	15.113	понятно
579	18	14.561	е
580	18	14.561	сначала
581	9	14.549	берут
582	9	14.549	какого
583	9	14.549	машине
584	9	14.549	можете
585	9	14.549	тяжело
586	9	14.549	часа
587	13	14.321	завтра
588	13	14.321	минус
589	13	14.321	смотреть
590	13	14.321	спокойно
591	20	14.280	каких
592	10	14.195	пришла
593	22	14.175	дальше
594	11	14.102	посмотреть
595	11	14.102	рядом
596	73	14.068	поэтому
597	50	13.858	него
598	25	13.792	лучше
599	16	13.775	наша
